source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,151,4,Not applicable,HTML table 2; row 151; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,152,1,2,HTML table 2; row 152; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,152,2,"Use of Natural resources for construction or operation of the Project (such as land, water, materials or energy, especially any resources which are non-renewable or in short supply):",HTML table 2; row 152; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,153,1,"S.No Information/Checklist confirmation Yes/No Details thereof (with approximate quantities/rates, wherever possible) with source of information data 2.1 Land especially undeveloped or agricultural land (ha) Yes Agricultural land will be used for road construction. Total 475 ha land will be converted to road use out of which approx. 389 ha is agriculture land. 2.2 Water (expected source & competing users) unit: KLD Yes 19434KL Water will be extracted from suitable surface sources (river/canals) or ground water after obtaining necessary permissions from the competent authority. 2.3 Minerals (MT) Yes Minor minerals use in construction:- Coarse Agg. (cum)- 7031 Fine Agg. (cum)- 112133 2.4 Construction material â stone, aggregates, sand / soil (expected source â MT) Yes Cement (MT) - 1329 Coarse Agg. (cum) 141492 Fine Agg. (cum) - 52055 Steel (MT) - 18938 Bitumen (MT) - 30679 Bitumen Emulsion (MT) - 1853 Steel and Cement would be sourced from Authorized Vendor. Soil, Sand and Aggregate will be procured from operational licensed borrow areas and quarries located around nearby areas. Fly Ash from nearest Thermal Power Stations. 2.5 Forests and timber (source â MT) No Use of LPG/Suitable clean cooking fuel would be provided to the construction workers. 2.6 Energy including electricity and fuels (source, competing users) Unit: fuel (MT),energy (MW) Yes Temporary electricity connection will be taken from State Electricity Board for construction camp and Diesel generator will provide electricity required for construction equipment and power backup. Labour camps will be provided with LPG as fuel sourced from authorized Supplier 2.7 Any other natural resources (use appropriate standard units) No Not applicable",HTML table 2; row 153; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,154,1,S.No,HTML table 2; row 154; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,154,2,Information/Checklist confirmation,HTML table 2; row 154; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,154,3,Yes/No,HTML table 2; row 154; column 3,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,154,4,"Details thereof (with approximate quantities/rates, wherever possible) with source of information data",HTML table 2; row 154; column 4,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,155,1,2.1,HTML table 2; row 155; column 1,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,155,2,Land especially undeveloped or agricultural land (ha),HTML table 2; row 155; column 2,review_required
S016,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,,2,155,3,Yes,HTML table 2; row 155; column 3,review_required
